priority,category,channel,customer_tier,assigned_group,num_reassignments,response_time_first,sla_breached,resolution_seconds,time_to_deadline_seconds
P2,hardware,portal,standard,team_c,1,5.265687587,1,,28800.0
P3,network,phone,standard,team_b,1,1.750407654,0,,86400.0
P1,network,phone,standard,team_b,0,24.31174573,1,,14400.0
P3,billing,phone,enterprise,team_a,1,93.62399053,0,,86400.0
P1,hardware,phone,vip,team_c,0,75.81626013,1,,14400.0
P3,network,phone,standard,team_b,1,103.6112773,1,,86400.0
P1,billing,portal,standard,team_c,0,30.39991192,1,87981924.0,14400.0
P3,hardware,email,standard,team_a,0,304.5970674,0,60871506.0,86400.0
P3,billing,email,standard,team_a,0,27.3524218,0,87617526.0,86400.0
P3,billing,phone,enterprise,team_b,1,98.20336734,0,71273538.0,86400.0
P2,billing,phone,vip,team_b,1,25.92146014,1,,28800.0
P2,network,phone,enterprise,team_a,1,14.78809093,1,,28800.0
P3,software,portal,standard,team_a,0,24.62887666,1,65810922.0,86400.0
P3,software,chat,enterprise,team_d,1,12.84194339,0,,86400.0
P3,network,chat,enterprise,team_a,0,8.294417894,1,90526830.0,86400.0
P1,network,phone,enterprise,team_a,0,27.14999807,0,63900252.0,14400.0
P4,network,phone,enterprise,team_b,0,9.525268647,0,,172800.0
P4,network,email,standard,team_a,0,41.86893743,0,68632986.0,172800.0
P3,software,email,standard,team_c,1,2.163266779,1,84694794.0,86400.0
P3,software,portal,enterprise,team_b,0,33.86706214,1,,86400.0
P4,billing,phone,standard,team_d,0,190.2130279,0,91116138.0,172800.0
P4,billing,portal,standard,team_c,0,26.66903427,1,,172800.0
P4,hardware,portal,standard,team_d,0,8.885040447,0,69439956.0,172800.0
P3,billing,email,standard,team_b,1,21.84759233,1,,86400.0
P4,billing,phone,enterprise,team_c,0,94.00509845,1,,172800.0
P1,billing,chat,standard,team_a,0,22.5828498,0,,14400.0
P3,billing,phone,standard,team_c,3,29.02142195,0,84417714.0,86400.0
P3,billing,chat,standard,team_c,0,93.29315322,1,69482100.0,86400.0
P3,billing,email,enterprise,team_c,0,18.11176826,0,,86400.0
P3,billing,phone,enterprise,team_c,0,39.03868231,0,,86400.0
P2,billing,phone,standard,team_d,2,3.915103249,0,85385712.0,28800.0
P4,software,chat,standard,team_a,0,11.47475759,0,,172800.0
P3,software,portal,standard,team_a,2,14.10137815,1,61229640.0,86400.0
P4,software,portal,vip,team_a,1,37.37044912,0,,172800.0
P1,hardware,phone,vip,team_d,1,103.2155922,0,87638400.0,14400.0
P3,hardware,email,standard,team_b,1,26.2647486,0,,86400.0
P3,billing,phone,standard,team_a,2,28.72936901,1,69910032.0,86400.0
P3,billing,phone,standard,team_d,0,21.48672416,1,65591538.0,86400.0
P4,software,phone,standard,team_c,0,23.18309286,1,,172800.0
P2,network,email,standard,team_a,1,31.00100487,0,,28800.0
P2,hardware,phone,standard,team_c,0,137.7981399,0,88581810.0,28800.0
P4,software,phone,enterprise,team_a,0,1.480688796,1,78381894.0,172800.0
P3,software,email,standard,team_d,1,58.78344459,1,74963064.0,86400.0
P2,network,phone,standard,team_a,0,131.1857522,0,,28800.0
P3,network,chat,standard,team_c,1,32.36997828,1,62031348.0,86400.0
P3,billing,email,standard,team_d,0,63.14615095,0,,86400.0
P3,billing,chat,standard,team_b,0,52.8720073,0,,86400.0
P1,software,portal,enterprise,team_a,0,24.80664594,1,,14400.0
P3,network,phone,standard,team_d,0,8.869493075,0,70595394.0,86400.0
P3,billing,portal,standard,team_d,1,14.87824428,0,75959622.0,86400.0
P4,network,phone,standard,team_b,1,3.549668892,0,66836640.0,172800.0
P4,software,chat,enterprise,team_b,0,86.82063987,1,73948752.0,172800.0
P3,software,email,standard,team_c,1,45.66078876,1,74370312.0,86400.0
P3,hardware,phone,vip,team_b,2,92.40410732,0,,86400.0
P2,software,chat,standard,team_c,0,20.56604009,0,,28800.0
P3,hardware,portal,vip,team_b,0,97.98454776,0,,86400.0
P1,network,phone,standard,team_d,0,22.19467673,0,,14400.0
P4,hardware,email,enterprise,team_b,0,7.76102246,0,,172800.0
P4,hardware,email,standard,team_b,0,45.78981393,0,,172800.0
P3,hardware,email,standard,team_d,1,174.3486222,0,,86400.0
P2,billing,phone,standard,team_d,2,32.10648925,0,88738896.0,28800.0
P2,software,email,standard,team_d,0,43.46448345,1,,28800.0
P4,software,email,standard,team_d,0,36.0110483,0,91125570.0,172800.0
P4,software,phone,standard,team_a,0,36.68682115,0,,172800.0
P2,billing,phone,standard,team_c,0,14.47503733,0,,28800.0
P3,billing,phone,standard,team_d,0,32.94097862,0,62502288.0,86400.0
P2,hardware,email,standard,team_c,0,41.21809502,0,64110462.0,28800.0
P2,software,email,standard,team_c,0,81.95621256,1,91608072.0,28800.0
P1,billing,email,enterprise,team_c,1,9.03764188,0,62702892.0,14400.0
P3,software,phone,enterprise,team_a,0,50.86382574,0,81209052.0,86400.0
P2,hardware,email,enterprise,team_d,1,65.11685511,0,,28800.0
P1,network,email,standard,team_b,0,28.95301561,1,,14400.0
P2,network,chat,standard,team_d,0,47.79914813,0,80389410.0,28800.0
P3,software,chat,standard,team_d,2,74.42618603,0,85359642.0,86400.0
P3,hardware,email,enterprise,team_c,1,37.54066378,1,,86400.0
P2,hardware,email,standard,team_c,0,24.32948937,1,,28800.0
P4,billing,email,standard,team_c,1,104.4764922,0,,172800.0
P2,billing,email,standard,team_b,0,269.6009933,1,,28800.0
P3,hardware,portal,standard,team_b,0,14.64943449,0,,86400.0
P2,billing,portal,standard,team_b,0,132.1072619,1,89892240.0,28800.0
P2,hardware,email,standard,team_a,1,47.30405178,1,80705664.0,28800.0
P1,hardware,portal,standard,team_a,0,35.6440935,0,74988000.0,14400.0
P2,network,email,standard,team_d,1,134.1871375,1,,28800.0
P4,network,portal,standard,team_d,1,144.7030735,1,69180336.0,172800.0
P3,software,phone,standard,team_d,0,19.10140664,0,,86400.0
P4,software,phone,standard,team_a,0,26.62482034,1,88251054.0,172800.0
P2,software,chat,enterprise,team_b,0,114.6018753,0,87056586.0,28800.0
P3,network,email,enterprise,team_b,0,40.49775525,1,73675242.0,86400.0
P2,billing,email,vip,team_c,0,20.38306016,0,67023654.0,28800.0
P4,hardware,email,standard,team_b,1,196.488567,1,83788980.0,172800.0
P4,billing,chat,standard,team_c,0,14.68027329,1,77527002.0,172800.0
P4,billing,portal,standard,team_b,0,56.54841345,0,,172800.0
P1,hardware,portal,standard,team_d,0,33.50821079,1,,14400.0
P3,software,portal,standard,team_a,0,36.01237557,1,,86400.0
P1,network,chat,enterprise,team_a,0,6.722176391,0,72763926.0,14400.0
P1,network,chat,vip,team_b,1,17.83472377,1,83650002.0,14400.0
P1,hardware,portal,enterprise,team_d,0,10.96308881,1,,14400.0
P2,software,phone,enterprise,team_c,0,83.08769794,1,70100586.0,28800.0
P3,billing,phone,enterprise,team_c,0,71.78893552,1,,86400.0
P3,software,email,enterprise,team_c,0,94.8230298,0,,86400.0
P3,software,phone,standard,team_a,0,72.09112504,0,70367676.0,86400.0
P4,hardware,email,enterprise,team_b,0,8.266852494,1,61342872.0,172800.0
P2,software,phone,standard,team_a,1,230.6393803,0,,28800.0
P2,hardware,phone,standard,team_c,0,12.53349601,1,,28800.0
P3,billing,email,standard,team_b,0,25.88849719,0,91015704.0,86400.0
P3,billing,portal,standard,team_c,1,73.62983146,0,62481618.0,86400.0
P2,hardware,chat,standard,team_b,2,9.080702135,0,,28800.0
P4,billing,phone,enterprise,team_a,0,11.21637899,1,,172800.0
P3,software,phone,standard,team_a,0,125.5273657,1,86896632.0,86400.0
P3,network,portal,enterprise,team_d,0,24.20936916,1,,86400.0
P3,network,portal,standard,team_a,0,65.72221717,1,,86400.0
P3,billing,chat,enterprise,team_c,0,117.4327939,1,,86400.0
P3,billing,email,standard,team_b,0,217.1628356,1,,86400.0
P3,hardware,chat,standard,team_d,1,14.16504197,0,84098778.0,86400.0
P2,hardware,chat,standard,team_d,1,7.869979216,0,,28800.0
P4,software,chat,standard,team_b,0,80.99472477,0,,172800.0
P3,software,portal,standard,team_a,1,12.51021139,1,71961054.0,86400.0
P3,billing,email,enterprise,team_d,2,52.07721203,0,80058528.0,86400.0
P3,network,email,standard,team_d,0,45.63998981,1,,86400.0
P3,network,portal,enterprise,team_d,0,49.24837498,0,,86400.0
P2,network,chat,standard,team_c,2,62.95382489,1,,28800.0
P4,hardware,email,standard,team_b,0,114.1850948,0,,172800.0
P4,hardware,portal,standard,team_b,0,19.03226251,0,,172800.0
P1,hardware,portal,enterprise,team_d,0,48.61367841,1,,14400.0
P1,network,phone,standard,team_c,0,24.63031966,0,,14400.0
P4,billing,chat,enterprise,team_c,0,23.02815065,1,,172800.0
P4,hardware,email,enterprise,team_c,0,1.237854676,0,,172800.0
P3,hardware,phone,standard,team_b,1,54.88787725,1,67782816.0,86400.0
P3,software,email,standard,team_d,0,215.6262881,0,,86400.0
P4,hardware,chat,standard,team_d,0,85.94188852,1,,172800.0
P2,billing,phone,standard,team_a,0,16.6871668,0,,28800.0
P3,software,chat,standard,team_a,0,75.55323884,0,,86400.0
P3,network,email,standard,team_b,0,21.1699796,1,,86400.0
P4,billing,portal,standard,team_b,0,84.05996145,1,67803396.0,172800.0
P1,hardware,portal,standard,team_b,1,115.8333116,1,,14400.0
P3,software,phone,standard,team_a,0,24.41762437,1,,86400.0
P3,billing,portal,enterprise,team_c,1,0.13135144,1,88629504.0,86400.0
P4,billing,email,standard,team_c,3,21.83211433,1,62963052.0,172800.0
P3,network,phone,vip,team_b,0,13.82945702,1,67709094.0,86400.0
P4,software,portal,standard,team_b,1,57.83668902,1,63744132.0,172800.0
P4,billing,portal,standard,team_a,0,20.55557802,1,81331680.0,172800.0
P3,network,email,standard,team_d,0,2.202720758,1,62281770.0,86400.0
P2,network,email,standard,team_b,0,45.47196919,0,72365220.0,28800.0
P3,billing,chat,standard,team_b,1,124.6158059,1,75951696.0,86400.0
P4,hardware,email,enterprise,team_c,1,36.01647244,1,,172800.0
P1,hardware,phone,enterprise,team_b,2,28.32490442,1,,14400.0
P3,billing,phone,standard,team_c,1,11.79859074,0,81934848.0,86400.0
P2,hardware,phone,standard,team_b,0,29.40084753,0,,28800.0
P1,billing,chat,standard,team_a,0,24.1110059,1,,14400.0
P3,software,email,standard,team_a,0,316.9817494,1,69928560.0,86400.0
P3,hardware,chat,standard,team_a,0,1.856601031,1,61306026.0,86400.0
P3,software,chat,standard,team_c,1,16.37536198,1,,86400.0
P4,hardware,email,vip,team_c,2,4.265854618,1,80500056.0,172800.0
P1,software,phone,standard,team_a,1,116.8704115,0,64854000.0,14400.0
P2,hardware,email,enterprise,team_b,0,32.40593635,0,78149094.0,28800.0
P4,network,portal,vip,team_a,1,95.45750919,1,72940134.0,172800.0
P3,billing,chat,enterprise,team_a,0,70.6893557,0,65892108.0,86400.0
P2,network,phone,standard,team_c,1,157.8916729,0,72142974.0,28800.0
P4,billing,phone,standard,team_b,0,1.443069969,1,,172800.0
P4,network,portal,standard,team_d,1,13.94201996,1,79229904.0,172800.0
P3,network,chat,standard,team_c,0,72.64631041,1,,86400.0
P4,network,phone,standard,team_a,1,52.80096886,0,,172800.0
P2,network,chat,enterprise,team_c,1,71.17981126,1,,28800.0
P2,billing,email,enterprise,team_c,0,51.40773067,1,72177972.0,28800.0
P4,billing,phone,standard,team_b,2,52.19609935,0,76760550.0,172800.0
P3,billing,portal,standard,team_b,0,161.8034987,0,,86400.0
P2,network,email,standard,team_d,1,152.5208058,0,,28800.0
P3,hardware,chat,standard,team_d,1,2.324242279,0,87889320.0,86400.0
P3,network,email,enterprise,team_a,0,32.03220012,0,,86400.0
P2,software,portal,standard,team_b,1,42.87090604,1,,28800.0
P3,software,portal,standard,team_c,0,26.58109181,0,,86400.0
P1,software,portal,enterprise,team_d,3,3.049714861,0,83556000.0,14400.0
P3,billing,phone,standard,team_b,1,38.35345099,1,82596852.0,86400.0
P3,hardware,portal,vip,team_c,0,223.0277988,1,85315548.0,86400.0
P2,billing,chat,standard,team_a,0,4.497074708,1,,28800.0
P2,hardware,email,enterprise,team_b,0,101.7908062,1,82628808.0,28800.0
P4,network,phone,standard,team_c,1,13.0634385,0,,172800.0
P3,billing,portal,standard,team_c,1,51.59390702,0,,86400.0
P3,network,portal,enterprise,team_a,0,29.36642593,0,73330842.0,86400.0
P2,hardware,chat,enterprise,team_c,0,25.75549909,1,,28800.0
P3,hardware,portal,standard,team_d,1,122.6044481,0,,86400.0
P3,hardware,chat,standard,team_b,1,217.7794948,1,73023714.0,86400.0
P2,software,email,standard,team_b,1,29.33084731,0,72931164.0,28800.0
P3,network,email,standard,team_c,0,61.37301585,0,,86400.0
P3,billing,portal,standard,team_c,1,48.77178115,1,81149100.0,86400.0
P3,hardware,chat,enterprise,team_d,1,4.802466581,0,,86400.0
P2,billing,portal,standard,team_c,0,2.521919305,0,77496672.0,28800.0
P2,software,chat,enterprise,team_d,0,89.07544086,0,,28800.0
P4,network,email,standard,team_b,0,30.1054374,1,,172800.0
P4,billing,email,standard,team_d,0,22.05324683,1,,172800.0
P3,network,phone,standard,team_a,0,254.3598601,0,,86400.0
P4,network,chat,standard,team_b,0,5.34495657,1,,172800.0
P3,hardware,chat,enterprise,team_b,1,18.80564359,0,74821332.0,86400.0
P2,network,email,enterprise,team_c,0,116.6114823,1,,28800.0
P2,hardware,email,standard,team_c,0,32.16847852,1,81791400.0,28800.0
P3,hardware,phone,standard,team_b,1,52.65985095,0,,86400.0
P3,network,email,standard,team_d,1,2.975506103,1,66993462.0,86400.0
P3,billing,chat,standard,team_b,1,151.763047,0,68139114.0,86400.0
P4,software,phone,enterprise,team_a,0,8.834784852,0,,172800.0
P4,network,portal,standard,team_b,0,14.39953909,1,,172800.0
P4,billing,portal,standard,team_b,1,10.23279678,0,75336528.0,172800.0
P4,network,portal,standard,team_a,1,41.28964389,0,,172800.0
P4,hardware,phone,standard,team_b,0,101.8482557,1,79944228.0,172800.0
P3,software,phone,enterprise,team_c,0,18.63025744,1,83992692.0,86400.0
P2,network,chat,enterprise,team_d,1,9.211483434,1,75016152.0,28800.0
P3,hardware,phone,enterprise,team_d,0,31.64999561,0,81710370.0,86400.0
P3,hardware,portal,standard,team_c,0,239.9041654,1,76196154.0,86400.0
P3,hardware,phone,standard,team_a,1,0.667180433,1,,86400.0
P4,hardware,portal,standard,team_a,0,42.0705135,0,,172800.0
P4,software,chat,standard,team_b,0,66.40498115,1,,172800.0
P3,hardware,email,standard,team_a,0,98.61715625,1,79637700.0,86400.0
P3,software,email,standard,team_b,1,82.27035529,1,,86400.0
P4,hardware,chat,standard,team_d,1,4.640578097,0,,172800.0
P1,hardware,chat,standard,team_a,1,37.17935636,1,79626180.0,14400.0
P2,network,email,standard,team_b,0,4.921402736,1,79580394.0,28800.0
P4,network,portal,standard,team_b,0,58.032202,0,,172800.0
P4,software,phone,standard,team_c,0,4.80961357,0,75119862.0,172800.0
P3,hardware,phone,standard,team_a,0,2.977563703,0,65734644.0,86400.0
P4,hardware,email,standard,team_c,0,21.91943239,1,,172800.0
P3,network,email,enterprise,team_a,0,167.6476993,1,,86400.0
P3,software,phone,standard,team_b,0,74.27174434,1,,86400.0
P3,software,portal,standard,team_a,0,0.242046582,0,,86400.0
P2,software,email,standard,team_c,0,20.10554363,1,81153210.0,28800.0
P2,billing,email,standard,team_d,0,1.059167593,1,69270756.0,28800.0
P4,network,portal,standard,team_b,1,20.91483394,1,79311720.0,172800.0
P2,network,phone,vip,team_c,0,69.40477954,1,,28800.0
P2,software,chat,standard,team_d,0,85.57167476,1,,28800.0
P3,network,portal,enterprise,team_b,0,97.81144863,0,,86400.0
P1,billing,phone,standard,team_c,2,144.4701347,1,70529220.0,14400.0
P4,billing,email,enterprise,team_d,2,27.32281501,0,,172800.0
P2,billing,chat,enterprise,team_b,2,119.090537,0,,28800.0
P3,hardware,phone,standard,team_c,2,78.04416277,0,,86400.0
P3,hardware,phone,enterprise,team_a,0,46.2997237,1,87204120.0,86400.0
P4,hardware,email,enterprise,team_d,0,185.5752565,0,,172800.0
P3,software,email,standard,team_c,1,177.0925122,0,,86400.0
P3,billing,email,standard,team_a,1,136.7346224,0,,86400.0
P4,billing,portal,enterprise,team_c,0,13.55589521,0,,172800.0
P1,network,phone,standard,team_c,0,13.98305422,1,,14400.0
P3,network,phone,standard,team_a,0,138.7599147,1,,86400.0
P4,software,email,enterprise,team_d,0,30.44121459,1,91577424.0,172800.0
P3,hardware,phone,vip,team_b,1,95.80441032,1,72298476.0,86400.0
P4,software,chat,enterprise,team_c,0,69.68174361,1,,172800.0
P1,billing,chat,standard,team_c,3,86.21909148,0,79610400.0,14400.0
P1,billing,portal,standard,team_d,2,1.597509442,1,,14400.0
P1,billing,email,enterprise,team_c,0,33.72262131,0,74340000.0,14400.0
P4,billing,chat,standard,team_a,0,116.7338849,1,81044808.0,172800.0
P4,software,phone,enterprise,team_d,0,40.3919261,1,79196778.0,172800.0
P3,software,email,enterprise,team_d,0,70.29690418,1,,86400.0
P2,software,email,standard,team_d,0,84.62339724,1,,28800.0
P2,software,portal,standard,team_b,0,7.721732346,1,,28800.0
P3,billing,email,standard,team_c,0,10.15808222,1,82322676.0,86400.0
P3,network,phone,standard,team_c,1,77.36173737,1,,86400.0
P4,software,portal,standard,team_b,1,3.36696062,0,,172800.0
P4,hardware,chat,enterprise,team_a,1,25.10347621,1,,172800.0
P4,software,portal,standard,team_d,0,150.1233605,1,,172800.0
P3,billing,email,standard,team_b,1,51.24909562,1,,86400.0
P4,billing,phone,standard,team_c,2,144.7966223,0,,172800.0
P4,software,chat,standard,team_a,0,22.21309898,0,,172800.0
P3,hardware,email,standard,team_a,0,60.73942788,1,83827518.0,86400.0
P3,billing,email,standard,team_a,0,20.27478934,1,,86400.0
P2,software,phone,standard,team_d,1,7.06770347,0,,28800.0
P3,network,portal,standard,team_a,1,280.6342315,0,,86400.0
P4,billing,email,standard,team_a,1,11.63199141,1,75591018.0,172800.0
P3,hardware,chat,enterprise,team_d,1,12.53096369,0,65624124.0,86400.0
P4,network,email,standard,team_a,0,110.6786236,0,,172800.0
P1,network,phone,standard,team_b,0,97.24115166,1,,14400.0
P4,hardware,phone,standard,team_a,1,228.5405483,1,,172800.0
P4,hardware,chat,standard,team_a,1,4.466864329,1,78481458.0,172800.0
P3,software,chat,enterprise,team_b,1,5.93127635,1,86503224.0,86400.0
P4,hardware,email,enterprise,team_a,2,35.73009236,1,,172800.0
P3,software,email,vip,team_d,0,53.75215534,0,,86400.0
P2,network,email,standard,team_c,0,2.326269869,1,66088854.0,28800.0
P2,software,phone,enterprise,team_c,0,10.34629875,1,,28800.0
P3,billing,chat,standard,team_d,0,72.90919696,0,,86400.0
P4,hardware,email,standard,team_a,1,66.25484743,1,81271092.0,172800.0
P1,billing,chat,standard,team_c,0,5.637954461,1,89540838.0,14400.0
P3,hardware,portal,standard,team_a,1,161.0010325,1,77181990.0,86400.0
P4,software,portal,standard,team_a,0,17.64324424,1,90461358.0,172800.0
P2,software,portal,enterprise,team_a,0,130.9446399,0,,28800.0
P2,hardware,chat,standard,team_d,1,153.8277744,0,,28800.0
P3,hardware,portal,standard,team_b,0,40.408875,0,89123646.0,86400.0
P2,billing,phone,enterprise,team_a,0,31.85828249,0,72463518.0,28800.0
P2,billing,portal,vip,team_c,0,19.55519897,1,,28800.0
P2,billing,email,standard,team_c,0,98.82277918,1,,28800.0
P2,software,chat,enterprise,team_a,0,13.13330041,1,,28800.0
P3,hardware,phone,enterprise,team_a,0,58.39144094,0,,86400.0
P3,billing,phone,standard,team_c,0,50.23963077,0,,86400.0
P4,network,email,standard,team_d,1,17.17258842,0,72898314.0,172800.0
P3,billing,chat,enterprise,team_c,0,244.6392321,0,68441658.0,86400.0
P4,billing,portal,enterprise,team_b,0,112.3746044,1,,172800.0
P4,billing,email,enterprise,team_b,0,1.244523842,1,,172800.0
P4,software,chat,standard,team_a,1,32.91709352,0,,172800.0
P3,software,chat,standard,team_d,1,26.68092172,0,,86400.0
P4,billing,phone,standard,team_a,1,128.6371446,0,,172800.0
P4,network,email,standard,team_b,0,18.43191711,0,79607730.0,172800.0
P3,network,email,standard,team_b,2,388.195242,1,,86400.0
P2,network,phone,standard,team_a,1,13.39458289,0,,28800.0
P3,network,phone,enterprise,team_d,1,16.77367508,1,75779508.0,86400.0
P2,software,phone,enterprise,team_c,1,65.81152166,1,,28800.0
P2,network,portal,standard,team_a,0,10.53674171,1,,28800.0
P3,hardware,chat,standard,team_a,2,131.7866839,1,,86400.0
P3,network,phone,standard,team_b,1,6.987253395,1,,86400.0
P4,network,phone,standard,team_d,1,245.6034113,0,,172800.0
P3,network,portal,standard,team_b,0,124.5954383,0,88388304.0,86400.0
P3,software,chat,standard,team_a,2,109.8262159,1,,86400.0
P3,network,email,standard,team_d,1,31.37564692,0,,86400.0
P3,software,chat,standard,team_b,1,43.24857583,0,,86400.0
P3,hardware,chat,standard,team_c,1,36.56784787,1,89141064.0,86400.0
P4,billing,chat,vip,team_d,0,262.5718794,0,68176866.0,172800.0
P3,billing,chat,enterprise,team_b,1,2.126809346,1,,86400.0
P3,billing,email,standard,team_d,0,28.84776107,1,,86400.0
P3,software,email,enterprise,team_d,1,207.2537172,1,76736442.0,86400.0
P4,billing,phone,standard,team_b,0,27.66408093,0,84168810.0,172800.0
P4,software,email,enterprise,team_c,1,30.48808767,0,,172800.0
P3,billing,portal,enterprise,team_d,0,59.86643989,0,,86400.0
P3,software,phone,standard,team_b,0,142.6830213,1,82298022.0,86400.0
P4,software,phone,enterprise,team_d,1,20.93279555,1,75847704.0,172800.0
P4,network,email,standard,team_a,1,176.9371048,1,,172800.0
P3,hardware,email,enterprise,team_a,2,19.92409871,1,,86400.0
P2,software,email,standard,team_d,1,101.3720386,0,70215696.0,28800.0
P3,network,chat,standard,team_d,0,19.36442055,1,64439736.0,86400.0
P3,software,email,standard,team_c,0,4.547044743,0,,86400.0
P3,billing,chat,standard,team_a,1,100.3754343,1,,86400.0
P2,network,chat,standard,team_d,0,35.87855385,0,68062914.0,28800.0
P1,network,chat,enterprise,team_b,0,29.73149093,1,,14400.0
P3,software,portal,standard,team_b,1,33.71481777,1,,86400.0
P4,network,chat,standard,team_b,0,56.7395091,0,,172800.0
P4,hardware,phone,enterprise,team_b,2,18.28509224,1,64404918.0,172800.0
P3,hardware,email,standard,team_b,1,16.25142714,1,61243782.0,86400.0
P4,hardware,email,standard,team_b,0,39.63373917,0,,172800.0
P2,network,portal,enterprise,team_d,0,2.177024072,1,,28800.0
P3,software,email,standard,team_d,1,61.77586305,0,,86400.0
P1,billing,email,enterprise,team_a,0,103.8435012,0,67420800.0,14400.0
P4,software,email,enterprise,team_b,1,77.98868159,0,,172800.0
P4,software,portal,standard,team_c,0,38.01378463,0,,172800.0
P4,network,chat,standard,team_c,0,49.99841564,1,81354984.0,172800.0
P3,network,phone,standard,team_c,0,1.591776016,0,,86400.0
P4,hardware,phone,standard,team_a,1,146.0668014,1,,172800.0
P4,software,email,standard,team_b,1,48.99521607,0,,172800.0
P2,network,email,standard,team_a,0,22.8237392,0,66530640.0,28800.0
P4,network,chat,standard,team_b,0,20.85291697,1,71135568.0,172800.0
P2,software,phone,vip,team_a,2,64.66827216,0,77192610.0,28800.0
P4,billing,email,vip,team_a,0,52.67165892,0,,172800.0
P1,billing,chat,standard,team_a,0,12.48366523,1,,14400.0
P2,software,chat,standard,team_b,0,31.64973969,0,,28800.0
P4,software,email,standard,team_d,0,67.65430135,1,,172800.0
P2,network,portal,standard,team_b,1,21.19980982,1,61635006.0,28800.0
P2,hardware,email,enterprise,team_b,1,42.71247565,1,65913498.0,28800.0
P3,hardware,chat,standard,team_d,1,17.65254129,0,,86400.0
P4,network,email,standard,team_b,2,4.462824171,1,65024400.0,172800.0
P2,software,chat,standard,team_d,1,29.48547969,1,65364852.0,28800.0
P4,network,portal,standard,team_c,0,79.0233996,1,89260320.0,172800.0
P4,software,phone,standard,team_a,1,14.43649287,0,77424972.0,172800.0
P3,billing,email,enterprise,team_d,0,84.26833414,1,90670128.0,86400.0
P3,network,phone,standard,team_b,0,66.42752588,0,64588572.0,86400.0
P1,billing,phone,enterprise,team_d,2,42.47985871,1,69589818.0,14400.0
P3,billing,phone,standard,team_c,1,213.3778278,0,,86400.0
P2,hardware,email,enterprise,team_b,0,128.9478456,1,,28800.0
P2,software,chat,standard,team_d,0,49.69352485,0,84429666.0,28800.0
P3,network,phone,standard,team_a,0,48.95685001,0,,86400.0
P3,hardware,email,vip,team_d,0,19.52480597,0,64494378.0,86400.0
P4,software,chat,standard,team_b,0,151.6927167,0,,172800.0
P3,software,phone,enterprise,team_a,0,135.7606529,1,,86400.0
P4,billing,phone,vip,team_c,0,81.3009809,1,62848458.0,172800.0
P2,software,chat,standard,team_a,0,8.209837058,0,87958854.0,28800.0
P1,billing,chat,enterprise,team_d,1,72.97202629,1,79122846.0,14400.0
P3,software,portal,standard,team_b,0,17.51055926,0,76271646.0,86400.0
P1,software,chat,enterprise,team_a,0,12.55516322,0,86846400.0,14400.0
P4,billing,email,standard,team_c,0,85.43022693,0,,172800.0
P3,billing,portal,standard,team_a,0,192.7332882,1,81587082.0,86400.0
P3,network,portal,enterprise,team_c,0,6.918302941,0,,86400.0
P3,billing,portal,enterprise,team_b,1,10.74588154,1,,86400.0
P3,billing,portal,standard,team_c,0,14.84882493,0,,86400.0
P3,hardware,chat,standard,team_c,0,197.666213,0,,86400.0
P1,network,portal,enterprise,team_d,0,71.52231674,0,,14400.0
